id;title;sub_title;author;genre;isbn;number_of_pages;publisher;edition;format;description
1;gee briefly than;uh-huh except sorrowful;bah huzzah;hourly;coolly know-how;past cloudburst;gasp boohoo challenge;duh;AUDIOBOOK;finally
2;aha yuck;yearningly ew pro;supposing;glittering amused;nab strength;super;cyst tightly flour;whose second-hand;HARDCOVER;um
3;suspiciously;usefully equally;since unwelcome;gutter because;wreak;inoculate pfft annually;overshoot;sanitize work;AUDIOBOOK;rotating gosh
4;so near;behind instantly damaged;though;hm blot;quadruple;prey thresh;boo loud;off beside great;PAPERBACK;gadzooks
5;handicap;replicate;down pro;darkness pro a;past incommode best;provided fooey obediently;inasmuch mostly whereas;ha allergist phooey;EBOOK;sharply potentially trick
6;frightfully tease;swerve honestly listening;documentation across;wiry;what ouch;that;basket at;naturally apropos;EBOOK;usefully how able
7;per wonderfully;fennel amidst;round fine;equally;misfit ew nor;provided procreate counselor;soot;wherever;EBOOK;failing
8;eventually miniaturize brr;because;sensor unlike;likewise since sharply;well-made;athwart;ouch cosset;meaningfully gurgle whose;EBOOK;through medical unfit
9;package;simplistic aside greatly;spike until;letter incidentally;melodic bah cost;courageous other nor;virtuous;stale;AUDIOBOOK;proctor socialise
10;even likewise;mainstream;although;for;blank separately;seminar dud threadbare;yum aboard;of linear;EBOOK;tightly baste
